tweet_id,timestamp,name,year,month,day,retweet_count,dog_stage,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,jpg_url,source,text,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count
666020888022790149,2015-11-15 22:32:08+00:00,nan,2015,11,Sunday,532,NONE,,https://twitter.com/dog_rates/status/666020888022790149/photo/1,8,10,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,1,Welsh_springer_spaniel,0.465074,True,collie,0.156665,True,Shetland_sheepdog,0.0614285,True,2535
666029285002620928,2015-11-15 23:05:30+00:00,,2015,11,Sunday,48,NONE,,https://twitter.com/dog_rates/status/666029285002620928/photo/1,7,10,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,1,redbone,0.506826,True,miniature_pinscher,0.0741916999999999,True,Rhodesian_ridgeback,0.07201,True,132
666033412701032449,2015-11-15 23:21:54+00:00,,2015,11,Sunday,47,NONE,,https://twitter.com/dog_rates/status/666033412701032449/photo/1,9,10,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,1,German_shepherd,0.596461,True,malinois,0.1385839999999999,True,bloodhound,0.116197,True,128
666044226329800704,2015-11-16 00:04:52+00:00,,2015,11,Monday,147,NONE,,https://twitter.com/dog_rates/status/666044226329800704/photo/1,6,10,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,1,Rhodesian_ridgeback,0.408143,True,redbone,0.360687,True,miniature_pinscher,0.222752,True,311
666049248165822465,2015-11-16 00:24:50+00:00,nan,2015,11,Monday,41,NONE,,https://twitter.com/dog_rates/status/666049248165822465/photo/1,5,10,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,1,miniature_pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True,111
666050758794694657,2015-11-16 00:30:50+00:00,,2015,11,Monday,60,NONE,,https://twitter.com/dog_rates/status/666050758794694657/photo/1,10,10,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,1,Bernese_mountain_dog,0.651137,True,English_springer,0.263788,True,Greater_Swiss_Mountain_dog,0.0161992,True,136
666051853826850816,2015-11-16 00:35:11+00:00,,2015,11,Monday,879,NONE,,https://twitter.com/dog_rates/status/666051853826850816/photo/1,2,10,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,1,box_turtle,0.933012,False,mud_turtle,0.0458854,False,terrapin,0.0178852999999999,False,1253
666055525042405380,2015-11-16 00:49:46+00:00,,2015,11,Monday,261,NONE,,https://twitter.com/dog_rates/status/666055525042405380/photo/1,10,10,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,1,chow,0.692517,True,Tibetan_mastiff,0.0582793999999999,True,fur_coat,0.0544486,False,448
666057090499244032,2015-11-16 00:55:59+00:00,,2015,11,Monday,146,NONE,,https://twitter.com/dog_rates/status/666057090499244032/photo/1,9,10,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,1,shopping_cart,0.962465,False,shopping_basket,0.0145937999999999,False,golden_retriever,0.00795896,True,304
666058600524156928,2015-11-16 01:01:59+00:00,,2015,11,Monday,61,NONE,,https://twitter.com/dog_rates/status/666058600524156928/photo/1,8,10,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,1,miniature_poodle,0.201493,True,komondor,0.192305,True,soft-coated_wheaten_terrier,0.0820861,True,115
666063827256086533,2015-11-16 01:22:45+00:00,,2015,11,Monday,232,NONE,,https://twitter.com/dog_rates/status/666063827256086533/photo/1,10,10,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,1,golden_retriever,0.77593,True,Tibetan_mastiff,0.0937178,True,Labrador_retriever,0.0724266,True,496
666071193221509120,2015-11-16 01:52:02+00:00,nan,2015,11,Monday,67,NONE,,https://twitter.com/dog_rates/status/666071193221509120/photo/1,9,10,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,1,Gordon_setter,0.503672,True,Yorkshire_terrier,0.174201,True,Pekinese,0.109454,True,154
666073100786774016,2015-11-16 01:59:36+00:00,nan,2015,11,Monday,174,NONE,,https://twitter.com/dog_rates/status/666073100786774016/photo/1,10,10,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,1,Walker_hound,0.260857,True,English_foxhound,0.1753819999999999,True,Ibizan_hound,0.0974705,True,335
666082916733198337,2015-11-16 02:38:37+00:00,nan,2015,11,Monday,47,NONE,,https://twitter.com/dog_rates/status/666082916733198337/photo/1,6,10,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,1,pug,0.489814,True,bull_mastiff,0.4047219999999999,True,French_bulldog,0.0489595,True,121
666094000022159362,2015-11-16 03:22:39+00:00,nan,2015,11,Monday,79,NONE,,https://twitter.com/dog_rates/status/666094000022159362/photo/1,9,10,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,1,bloodhound,0.195217,True,German_shepherd,0.0782598,True,malinois,0.0756278,True,169
666099513787052032,2015-11-16 03:44:34+00:00,nan,2015,11,Monday,73,NONE,,https://twitter.com/dog_rates/status/666099513787052032/photo/1,8,10,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,1,Lhasa,0.58233,True,Shih-Tzu,0.166192,True,Dandie_Dinmont,0.0896883,True,164
666102155909144576,2015-11-16 03:55:04+00:00,nan,2015,11,Monday,16,NONE,,https://twitter.com/dog_rates/status/666102155909144576/photo/1,11,10,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,1,English_setter,0.298617,True,Newfoundland,0.149842,True,borzoi,0.133649,True,81
666104133288665088,2015-11-16 04:02:55+00:00,nan,2015,11,Monday,6871,NONE,,https://twitter.com/dog_rates/status/666104133288665088/photo/1,1,10,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,1,hen,0.965932,False,cock,0.0339194,False,partridge,5.20658e-05,False,14765
666268910803644416,2015-11-16 14:57:41+00:00,nan,2015,11,Monday,37,NONE,,https://twitter.com/dog_rates/status/666268910803644416/photo/1,10,10,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,1,desktop_computer,0.086502,False,desk,0.0855474,False,bookcase,0.0794797,False,108
666273097616637952,2015-11-16 15:14:19+00:00,nan,2015,11,Monday,82,NONE,,https://twitter.com/dog_rates/status/666273097616637952/photo/1,11,10,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Can take selfies 11/10 https://t.co/ws2AMaNwPW,1,Italian_greyhound,0.176053,True,toy_terrier,0.111884,True,basenji,0.111152,True,184
666287406224695296,2015-11-16 16:11:11+00:00,,2015,11,Monday,71,NONE,,https://twitter.com/dog_rates/status/666287406224695296/photo/1,1,2,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,1,Maltese_dog,0.8575309999999999,True,toy_poodle,0.0630638,True,miniature_poodle,0.0255806,True,152
666293911632134144,2015-11-16 16:37:02+00:00,,2015,11,Monday,368,NONE,,https://twitter.com/dog_rates/status/666293911632134144/photo/1,3,10,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,1,three-toed_sloth,0.914671,False,otter,0.01525,False,great_grey_owl,0.0132072,False,522
666337882303524864,2015-11-16 19:31:45+00:00,,2015,11,Monday,96,NONE,,https://twitter.com/dog_rates/status/666337882303524864/photo/1,9,10,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,1,ox,0.4166689999999999,False,Newfoundland,0.278407,True,groenendael,0.102643,True,204
666345417576210432,2015-11-16 20:01:42+00:00,nan,2015,11,Monday,146,NONE,,https://twitter.com/dog_rates/status/666345417576210432/photo/1,10,10,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB,1,golden_retriever,0.8587440000000001,True,Chesapeake_Bay_retriever,0.0547868,True,Labrador_retriever,0.0142408999999999,True,307
666353288456101888,2015-11-16 20:32:58+00:00,nan,2015,11,Monday,77,NONE,,https://twitter.com/dog_rates/status/666353288456101888/photo/1,8,10,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,1,malamute,0.3368739999999999,True,Siberian_husky,0.147655,True,Eskimo_dog,0.0934123999999999,True,229
666362758909284353,2015-11-16 21:10:36+00:00,nan,2015,11,Monday,595,NONE,,https://twitter.com/dog_rates/status/666362758909284353/photo/1,6,10,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet https://t.co/XMD9CwjEnM,1,guinea_pig,0.996496,False,skunk,0.00240245,False,hamster,0.000460863,False,804
666373753744588802,2015-11-16 21:54:18+00:00,nan,2015,11,Monday,100,NONE,,https://twitter.com/dog_rates/status/666373753744588802/photo/1,11,10,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,1,soft-coated_wheaten_terrier,0.326467,True,Afghan_hound,0.259551,True,briard,0.206803,True,194
666396247373291520,2015-11-16 23:23:41+00:00,nan,2015,11,Monday,92,NONE,,https://twitter.com/dog_rates/status/666396247373291520/photo/1,9,10,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE,1,Chihuahua,0.978108,True,toy_terrier,0.00939697,True,papillon,0.00457681,True,172
